Website|owner|link
MyGovernment||https://www.malaysia.gov.my/portal/index
KPM|Ramzi Bin Mansor|https://www.moe.gov.my/index.php
Portal Rasmi Kementerian Kesihatan Malaysia|YB Khairy Jamaluddin|https://www.moh.gov.my/
Kementerian Pembangunan Wanita, Keluarga dan Masyarakat|YB Datuk Seri Rina Binti Mohd Harun|https://www.kpwkm.gov.my/kpwkm/index.php
Official Portal of Ministry of Finance Malaysia|YB Senator Tg. Datuk Seri Utama Zafrul Tg. Abdul Aziz|https://www.mof.gov.my/portal/en/
Kementerian Sumber Manusia|YB Datuk Seri M. Saravanan|https://www.mohr.gov.my/index.php/ms/
Portal Rasmi Biro Pengaduan Awam|En. Kamalazira bin Pauzi|https://www.pcb.gov.my/bm
Portal Rasmi Suruhanjaya Perkhidmatan Awam Malaysia|YBhg. Tan Sri Dato' Seri Utama Zainal Rahim bin Seman|https://spa.gov.my/spa/
Portal Rasmi Jabatan Perkhidmatan Awam|Dato Sri Mohd Shafiq Bin Abdullah|https://www.jpa.gov.my/
MyEG|Tan Sri Wong|https://www.myeg.com.my/
PIDM|Tan Sri Rahamat Bivi Yusoff|https://www.pidm.gov.my/en
LHDN Malaysia|Datuk Mohd Nizom Sairi|https://www.hasil.gov.my/
KWSP|Tan Sri Ahmad Badri Mohd Zahir|https://www.kwsp.gov.my/home
Suruhanjaya Sekuriti|Datuk Syed Zaid Albar |https://www.sc.com.my/
Bank Negara Malaysia|Tan sri Nor Shamsiah Mohd Yunus|https://www.bnm.gov.my/
BSN|Jay Khairil Jeremy|http://www.mybsn.com.my/
Bursa Malaysia|Datuk Muhamad Umar Swift|https://www.bursamalaysia.com/
Laman Web Rasmi Lembaga Pembangunan Langkawi|YBrs. Tuan Haji Ahmad Fuad bin Che Ani @ Abd Ghani|https://www.lada.gov.my/
Lembaga Pembiayaan Perumahan Sektor Awam|Datuk Seri Asri Bin Hamidin|https://www.lppsa.gov.my/v3/my/
Yayasan Tun Razak|Tun Mohammed Hanif Omar|http://yayasantunrazak.org.my/utama/
Portal Rasmi Jabatan Kastam Diraja Malaysia|Dato Sri Abdul Latif Bin Abdul Kadir|http://www.customs.gov.my/ms/pages/utama.aspx
Official Website Malaysia Sales & Service tax|Dato Sri Abdul Latif Bin Abdul Kadir|https://mysst.customs.gov.my/
Portal Rasmi Jabatan Penilaian dan Perkhidmatan Harta|Ybrs. Sr Rosni Nawati|https://www.jpph.gov.my/v3/ms/
Department of Statistics Malaysia official portal|Dato' Sri Dr. Mohd Uzir Mahidin|https://www.dosm.gov.my/v1/index.php
Official Portal Ministry Of Foreign Affairs Malaysia|YB Dato' Sri Saifuddin Abdullah|https://www.kln.gov.my/web/guest/home
Ministry Of Transportation Official Portal|YB Dato' Seri Ir. Dr. Wee Ka Siong|https://www.mot.gov.my/en
Portal Rasmi Jabatan Pengangkutan Jalan Malaysia|Ybhg Tuan Aedy Fadly Bin Ramli|https://www.jpj.gov.my/en/web/main-site/utama
Portal Rasmi Agensi Pengangkutan Awam Darat|Dato Azlan Shah Al Bakri|https://www.apad.gov.my/
Laman Web Rasmi Perbadanan Aset Kertetapi|Datuk Isham Ishak|https://www.rac.gov.my/
Civil Aviation Authority of Malaysia|Tan Sri Mohd Khairul Adib|https://www.caam.gov.my/
Laman Web Rasmi Jabatan Laut Malaysia|Dato' Hj Bahrin|https://www.marine.gov.my/jlm/
MyIPO|Mr Zulkarnain Muhammad|https://www.myipo.gov.my/en/home/
Maritime Institute of Malaysia|Dato' Mohamed Suffian Bin Awang|https://www.mima.gov.my/
Portal Rasmi Kementerian Perpaduan Negara|Zahariah Binti Mohd Sarif|https://www.perpaduan.gov.my/index.php/bm/
Portal Rasmi Jabatan Imigresen Malaysia|Dato' Sri Khairul Dzaimee|https://www.imi.gov.my/portal2017/index.php/ms/
Official Portal Ministry of International Trade and Industry|YB Dato' Sri Norazman Ayob|https://www.miti.gov.my/index.php
Portal Rasmi Jabatan Pendaftaran Negara|Turidi Bin Mat|https://www.jpn.gov.my/my/
Official Portal Medical Device Authority Malaysia|Ministry of Health|https://portal.mda.gov.my/
Suruhanjaya Syarikat Malaysia|YB Tuan Azman Mohd. Yusof|https://www.ssm.com.my/Pages/Home.aspx
Portal Rasmi Suruhanjaya Komunikasi dan Multimedia Malaysia|Ybrs. Dr. Fadhlullah Suhaimi|https://www.mcmc.gov.my/en/home
Official Portal Malaysian Anti-Corruption Commission|Dato' Sri Ahmad Khusairi Yahaya|https://www.sprm.gov.my/
Malaysia Digital Economy Corporation|Mahadhir Aziz|https://mdec.my/
Cybersecurity Malaysia|Ts. Dr. Solahuddin Bin Shamsuddin|https://www.cybersecurity.my/en/index.html
Laman Web Rasmi Jabatan Penerangan Malaysia |Dato Mohd Sukari Abd Hamid|https://www.penerangan.gov.my/japenv2/
Official Portal Ministry of Communications and Multimedia Malaysia|En. Mazlan Bin Abd Mutalib|https://www.kkmm.gov.my/en/
Perbadanan Kemajuan Filem Nasional Malaysia|Profesor Dr. Md Nasir Ibrahim|https://www.finas.gov.my/en/
Portal Rasmi Kementerian Pembangunan Luar Bandar|Mohd Kamal Bin Husin|https://www.rurallink.gov.my/
Official Portal Ministry of Tourism, Arts and Culture|Dato Sri Hjh Nancy Shukri|https://www.motac.gov.my/en/
Portal Rasmi Kementerian Wilayah Persekutuan|YB Dato' Parang Abai @ Thomas|https://www.kwp.gov.my/index.php/en/
Official Portal Ministry of Science, Technology & Innovation|Faizah Binti Jaarudin|https://www.mosti.gov.my/en/
Portal Rasmi Kementerian Belia dan Sukan|Ybrs. Abdullah Bin Hasan|https://www.kbs.gov.my/en
Ministry of Home Affairs |YB Dato Seri Hamzah Zainudin|https://www.moha.gov.my/index.php/en/
Perbadanan Putrajaya|Dato' TPr Fadlun Bin Mak Ujud|https://www.ppj.gov.my/
Official Website of Ministry of Plantation Industries and Commodities|En. Abdul Hadi Bin Omar|https://www.mpic.gov.my/mpi/en/
Government Official Portal Ministry of Works|Ybhg. Dato' Ahmad Nadzri Bin Embong|https://www.kkr.gov.my/en
Kementerian Pertahanan Malaysia|Ybrs. Dr. Anis Bin Mahmud|https://mod.gov.my/en/
Ministry of Higher Education|Dr. Mohd Zabri Yusoff|https://www.mohe.gov.my/en
Official Portal Ministry of Agriculture and Food Industries|YB Datuk Seri Dr. Ronald Kiandee|https://www.mafi.gov.my/en_US/home
Portal Rasmi Suruhanjaya Pilihan Raya Malaysia|Ybhg. Datuk Abdul Ghani Bin Salleh|https://www.spr.gov.my/
Official Website Malaysian Investment Development Authority|Ybhg. Datuk Arham Abd Rahman|https://www.mida.gov.my/
Official Portal of Attorney General's Chambers Malaysia|Ybhg. Datuk Ahmad Terrirudin |https://www.agc.gov.my/agcportal/frontend/web/index.php
Laman Web Rasmi Institut Penyelidikan dan Kemajuan Pertanian Malaysia|Ybhg. Dato' Dr. Mohamad Zabawi|https://www.mardi.gov.my/
Portal Rasmi Jabatan Perikanan Malaysia|Hj Mohd Sufian Bin Sulaiman|https://www.dof.gov.my/
Portal Rasmi Jabatan Pertanian|Dato' Zahimi Bin Hassan|http://www.doa.gov.my/
Official Portal Malaysian Department of Insolvency|Zarina Binti Kadri|https://www.mdi.gov.my/index.php
The official portal of Malaysia's External Trade Development Corporation|Ybhg. Tan Sri Dr. Halim Mohammad|https://www.matrade.gov.my/en/
Portal Rasmi Perpustakaan Negara Malaysia|Salasiah Binti Abd Wahab|https://www.pnm.gov.my/index.php
Official portal of Economic Planning Unit|Ybhg. Dato' Nor Azmie bin Diron|https://www.epu.gov.my/en
Portal Rasmi Jabatan Kemajuan Islam Malaysia|Tuan Hj Ahmad Fuad Bin Apandi|https://www.islam.gov.my/ms/
Official Website Malaysia Rubber Board|Dato' Dr. Zairossani Mohd Nor|https://www.lgm.gov.my/webv2/home
